"","Country","Wheat_Production_Mt"
"1","Afghanistan",3.35337022161936
"2","Aksai Chin",0
"3","Albania",0.248407047062301
"4","Algeria",2.61329008950019
"5","American Samoa",0
"6","Andorra",1.00920004797445e-07
"7","Angola",0.00399693247458544
"8","Anguilla",0
"9","Antarctica",0
"10","Antigua and Barbuda",0
"11","Argentina",14.5078775935078
"12","Armenia",0.240619668951695
"13","Aruba",0
"14","Arunachal Pradesh",0.00375445820255038
"15","Ashmore and Cartier Islands",0
"16","Australia",19.301615089996
"17","Austria",1.52131207616782
"18","Azerbaijan",1.53125250679788
"19","Azores Islands",0
"20","Bahamas",0
"21","Bahrain",0
"22","Baker Island",0
"23","Bangladesh",0.992927127538962
"24","Barbados",0
"25","Bassas da India",0
"26","Belarus",1.12327556013202
"27","Belgium",1.77626609644722
"28","Belize",0
"29","Benin",0
"30","Bermuda",0
"31","Bhutan",0.00817154723711155
"32","Bird Island",0
"33","Bolivia",0.130231558968433
"34","Bosnia and Herzegovina",0.269985559357565
"35","Botswana",0.000401617260095577
"36","Bouvet Island",0
"37","Brazil",4.31752030279927
"38","British Indian Ocean Territory",0
"39","British Virgin Islands",0
"40","Brunei Darussalam",0
"41","Bulgaria",3.58723478518998
"42","Burkina Faso",0
"43","Burundi",0.00774863284547678
"44","Cambodia",0
"45","Cameroon",0.000542477806668273
"46","Canada",25.2636696528963
"47","Cape Verde",0
"48","Cayman Islands",0
"49","Central African Republic",0
"50","Chad",0.00182157150788953
"51","Chile",1.72389449786386
"52","China",99.2653048506808
"53","China/India",0
"54","Christmas Island",0
"55","Clipperton Island",0
"56","Cocos (Keeling) Islands",0
"57","Colombia",0.0379423719805985
"58","Comoros",0
"59","Congo",0
"60","Cook Islands",0
"61","Costa Rica",0
"62","Côte d'Ivoire",0
"63","Croatia",0.748070833718245
"64","Cuba",0
"65","Cyprus",0.00876475694644796
"66","Czech Republic",4.23901001957711
"67","Dem People's Rep of Korea",0.18670313939608
"68","Democratic Republic of the Congo",0.00858421521439823
"69","Denmark",4.7700457891433
"70","Djibouti",0
"71","Dominica",0
"72","Dominican Republic",0
"73","Ecuador",0.00874636409504603
"74","Egypt",7.85822813939416
"75","El Salvador",0
"76","Equatorial Guinea",0
"77","Eritrea",0.0173962094313538
"78","Estonia",0.226762537286049
"79","Ethiopia",2.00329932108981
"80","Europa Island",0
"81","Falkland Islands (Malvinas)",0
"82","Faroe Islands",0
"83","Fiji",0
"84","Finland",0.754308742961712
"85","France",37.2725746472853
"86","French Guiana",0
"87","French Polynesia",0
"88","French Southern and Antarctic Territories",0
"89","Gabon",0
"90","Gambia",0
"91","Gaza Strip",0
"92","Georgia",0.148600419890343
"93","Germany",23.8182383185947
"94","Ghana",0
"95","Gibraltar",0
"96","Glorioso Island",0
"97","Greece",1.96382008911411
"98","Greenland",0
"99","Grenada",0
"100","Guadeloupe",0
"101","Guam",0
"102","Guatemala",0.00755002900690016
"103","Guernsey",0
"104","Guinea",0
"105","Guinea-Bissau",0
"106","Guyana",0
"107","Haiti",0
"108","Hala'ib triangle",0
"109","Heard Island and McDonald Islands",0
"110","Holy See",2.0700801997009e-06
"111","Honduras",0.000890878681232721
"112","Hong Kong",0
"113","Howland Island",0
"114","Hungary",5.14194069214864
"115","Iceland",0
"116","Ilemi triangle",0
"117","India",69.5577294701824
"118","Indonesia",0
"119","Iran  (Islamic Republic of)",14.4933772962014
"120","Iraq",2.05580983630911
"121","Ireland",0.870110920353909
"122","Isle of Man",0
"123","Israel",0.17186404605701
"124","Italy",7.84249275457157
"125","Jamaica",0
"126","Jammu and Kashmir",0.442013006493532
"127","Japan",0.854425813614419
"128","Jarvis Island",0
"129","Jersey",0
"130","Johnston Atoll",0
"131","Jordan",0.0250958221529203
"132","Juan de Nova Island",0
"133","Kazakhstan",11.5145418520456
"134","Kenya",0.359145080412588
"135","Kingman Reef",0
"136","Kiribati",0
"137","Kuril islands",0
"138","Kuwait",0.000482817248297351
"139","Kyrgyzstan",0.929004250129665
"140","Lao People's Democratic Republic",6.18295962340198e-06
"141","Latvia",0.58936097771948
"142","Lebanon",0.147460460762431
"143","Lesotho",0.0130823665508615
"144","Liberia",0
"145","Libya",0.117168055568278
"146","Liechtenstein",0
"147","Lithuania",1.20869541674665
"148","Luxembourg",0.0757710253819823
"149","Ma'tan al-Sarra",0
"150","Macau",0
"151","Madagascar",0.0117339445299223
"152","Madeira Islands",0
"153","Malawi",0.00182874613508943
"154","Malaysia",0
"155","Maldives",0
"156","Mali",0.00743659232716709
"157","Malta",0.00729941122699529
"158","Marshall Islands",0
"159","Martinique",0
"160","Mauritania",0.000788535200058504
"161","Mauritius",0
"162","Mayotte",0
"163","Mexico",2.90451209253785
"164","Micronesia (Federated States of)",0
"165","Midway Island",0
"166","Moldova, Republic of",0.870297636149189
"167","Monaco",0.000412972763115249
"168","Mongolia",0.111613745936559
"169","Montserrat",0
"170","Morocco",4.92727297986818
"171","Mozambique",0.00648977110915894
"172","Myanmar",0.147433346506759
"173","Namibia",0.0107140056435924
"174","Nauru",0
"175","Navassa Island",0
"176","Nepal",1.39896515912508
"177","Netherlands",1.1989705252272
"178","Netherlands Antilles",0
"179","New Caledonia",1.26521302235005e-05
"180","New Zealand",0.299896764293287
"181","Nicaragua",4.11840028391453e-06
"182","Niger",0.00859101258022577
"183","Nigeria",0.0652631649550273
"184","Niue",0
"185","Norfolk Island",0
"186","Northern Mariana Islands",0
"187","Norway",0.38205251495225
"188","Oman",0.000903714360191543
"189","Pakistan",20.8973325507049
"190","Palau",0
"191","Palmyra Atoll",0
"192","Panama",0
"193","Papua New Guinea",0
"194","Paracel Islands",0
"195","Paraguay",0.738701412532066
"196","Peru",0.179700151736512
"197","Philippines",0
"198","Pitcairn",0
"199","Poland",8.57152981268155
"200","Portugal",0.208831588083541
"201","Puerto Rico",0
"202","Qatar",2.02500703494479e-05
"203","Republic of Korea",0.00853130768700794
"204","Réunion",0
"205","Romania",6.90037540923117
"206","Russian Federation",46.0224051279287
"207","Rwanda",0.0197324169679405
"208","Saint Helena",0
"209","Saint Kitts and Nevis",0
"210","Saint Lucia",0
"211","Saint Pierre et Miquelon",0
"212","Saint Vincent and the Grenadines",0
"213","Samoa",0
"214","San Marino",0
"215","Sao Tome and Principe",0
"216","Saudi Arabia",2.68441785778869
"217","Scarborough Reef",0
"218","Senegal",1.48539993460872e-06
"219","Senkaku Islands",0
"220","Serbia and Montenegro",0.631535265235328
"221","Seychelles",0
"222","Sierra Leone",0
"223","Singapore",0
"224","Slovakia",1.57194411876081
"225","Slovenia",0.140997153601802
"226","Solomon Islands",0
"227","Somalia",0.001052856471631
"228","South Africa",1.89804127473362
"229","South Georgia and the South Sandwich Islands",0
"230","Spain",5.55090188537123
"231","Spratly Islands",0
"232","Sri Lanka",0
"233","Sudan",0.506700486178588
"234","Suriname",0
"235","Svalbard and Jan Mayen Islands",0
"236","Swaziland",0.000186032460398167
"237","Sweden",2.1919797211267
"238","Switzerland",0.538111848742652
"239","Syrian Arab Republic",4.68933026548416
"240","Taiwan",0
"241","Tajikistan",0.640117499633703
"242","Thailand",0.00113474616109954
"243","The former Yugoslav Republic of Macedonia",0.327644245415513
"244","Timor-Leste",0
"245","Togo",0
"246","Tokelau",0
"247","Tonga",0
"248","Trinidad and Tobago",0
"249","Tromelin Island",0
"250","Tunisia",1.51847275226166
"251","Turkey",20.8322372879522
"252","Turkmenistan",2.889364946336
"253","Turks and Caicos islands",0
"254","Tuvalu",0
"255","U.K. of Great Britain and Northern Ireland",14.9830870019346
"256","Uganda",0.015685191952798
"257","Ukraine",16.7240192532369
"258","United Arab Emirates",5.11791994810551e-05
"259","United Republic of Tanzania",0.0930084412880632
"260","United States of America",55.1267934162578
"261","United States Virgin Islands",0
"262","Uruguay",0.523216416352128
"263","Uzbekistan",5.83504570906537
"264","Vanuatu",0
"265","Venezuela",0.000418032171481286
"266","Viet Nam",6.7793596372212e-06
"267","Wake Island",0
"268","Wallis and Futuna",0
"269","West Bank",0
"270","Western Sahara",0
"271","Yemen",0.121768293913085
"272","Zambia",0.104556314856296
"273","Zimbabwe",0.239356056211591
